Disciplina;titulo;taxonomia;tema;descricao;keywords
Geografia;Unidade 6 - Atividades interativas;/geo-atividade7-un6;Região Nordeste;Atividades interativas de fixação de conteúdos;Região Nordeste, Rio São Francisco, economia, subdivisões regionais
Geografia;A hidrovia Tietê-Paraná;ARgeo7_un07an_tiete.mp4;Região Sudeste: infraestrutura;Explore o mapa da região de abrangência da hidrovia e veja suas principais características e informações sobre sua integração.;Região Sudeste, hidrovia, economia, transporte,
Geografia;Brasil: aspectos físicos da Região Sudeste;/sudeste-fisico;Apresentação das características físicas da Região Sudeste do Brasil;Explore o mapa interativo e veja alguns dados sobre a região Sudeste, referentes à: vegetação, clima, relevo e hidrografia.;Região Sudeste, clima, relevo, vegetação, hidrografia
Geografia;Unidade 7 - Atividades interativas;/geo-atividade7-un7;Região Sudeste;Atividades interativas de fixação de conteúdos;Região Sudeste, metrópole, economia, relevo, urbanização
Geografia;Brasil: aspectos físicos da Região Sul;/sul-fisico;Apresentação das características físicas da Região Sul do Brasil;Explore o mapa interativo da Região Sul e veja dados referentes à vegetação, clima, relevo e hidrografia.;Região Sul, clima, relevo, vegetação, hidrografia
Geografia;O quatrilho;ARgeo7_un08vt_quatrilho.mp4;A imigração italliana na Região Sul;Veja nesse filme o cotidiano dos agricultores rurais do Rio Grande do Sul no início do século XX e observe as relações entre os colonos.;Região Sul, população, migração, comunidade rural, migrantes italianos
Geografia;Unidade 8 - Atividades interativas;/geo-atividade7-un8;Região Sul;Atividades interativas de fixação de conteúdos;Região Sul, vegetação, clima, economia
Geografia;Brasil: aspectos físicos da Região Centro-Oeste;/centro-oeste-fisico;Apresentação das características físicas da Região Centro-Oeste do Brasil;Explore o mapa interativo da Região Centro-Oeste, com dados referentes à vegetação, clima, relevo e hidrografia.;Região Centro,Oeste, clima, relevo, vegetação, Brasil
Geografia;O Parque Indígena do Xingu;/xingu;A ocupação da Região Centro- Oeste;Confira na multimídia interativa dados sobre localização, área, história, línguas faladas, etnias encontradas, ameaças e desafios atuais do parque. Veja um mapa do parque e informações sobre a Funai e os irmãos Villas-Bôas.;Região Centro,Oeste, Villas,Bôas, Xingu, ocupação, expedições
Geografia;Unidade 9 - Atividades interativas;/geo-atividade7-un9;Região Centro- Oeste;Atividades interativas de fixação de conteúdos;Região Centro, Oeste, vegetação, clima, ecomomia
Geografia;Transição demográfica;ARgeo8_un01an_demografica.mp4;População e diversidade;Veja nos gráficos e nas imagens modelos de transição demográfica e entenda alguns problemas relacionados aos novos modelos de transição.;população, natalidade, mortalidade, crescimento populacional
Geografia;Formação do petróleo e do carbono;ARgeo8_un01an_petroleo_carbono.mp4;Recursos minerais energéticos;Explore as ilustrações com animação as quais explicam a origem do petróleo, seu processo de extração e os produtos resultantes da destilação desse mineral. Reflita sobre os problemas relacionados ao consumo de combustíveis fósseis e sobre o caminho do carbono nesses processos.;energia, petróleo, combustíveis fósseis, carbono, recursos minerais
Geografia;Unidade 1 - Atividades interativas;/geo-atividade8-un1;O mundo hoje;Atividades interativas de fixação de conteúdos;população,,Estado, nação, país, territótio, IDH
Geografia;Unidade 2 - Atividades interativas;/geo-atividade8-un2;O mundo global;Atividades interativas de fixação de conteúdos;capitalismo, socialismo, Estado, guerra, globalização, economia
Geografia;Fluxo mundial das chamadas telefônicas;ARgeo8_un02an_telefonicas.mp4;A sociedade global;Saiba mais sobre a globalização e o rápido fluxo de informações. Veja o mapa dos fluxos das chamadas telefônicas mundiais e reflita sobre a desigualdade nesses fluxos entre os países.;globalização, fluxos, informação, telecomunicações, tecnologia, revolução, mundialização
Geografia;A corrida espacial;ARgeo8_un05an_corrida_espacial.mp4;A bipolaridade mundial;Analise as imagens históricas e entenda o processo da corrida espacial, disputada após a Segunda Guerra Mundial pela União Soviética e os Estados Unidos.;bipolaridade, União Soviética, Estados Unidos, Guerra Fria, exploração espacial, tecnologia, superpotências
Geografia;Encontro com Milton Santos ou o mundo global visto do lado de cá;ARgeo8_un02vt_mundo_global.mp4;O mundo global;Assista ao trecho do documentário sobre a questão da globalização como fábrica de perversidade, onde os problemas sociais estão cada vez mais visíveis e ao mesmo tempo tratados com naturalidade, e reflita a respeito.;globalização, economia global, fluxos, trabalho, produção
Geografia;Unidade 3 - Atividades interativas;/geo-atividade8-un3;Regionalização do espaço mundial;Atividades interativas de fixação de conteúdos;país, guerra, regionalização, capitalismo, socialismo, meio ambiente, consumo
Geografia;Índice de Desenvolvimento Humano (IDH);ARgeo8_un03an_idh.mp4;Regionalização do espaço mundial;Explore o audiovisual e entenda o contexto de surgimento do IDH e suas principais características. Procure na internet um mapa com dados mundiais de IDH e um mapa do Brasil, com os dados por estados.;saúde, educação, renda, qualidade de vida, desigualdade
Geografia;Regionalização do mundo e vulnerabilidade ambiental;/regionalizacao;Regionalização do espaço mundial;Teste seus conhecimentos sobre a regionalização do mundo e a vulnerabilidade ambiental no jogo de palavras cruzadas.;regionalização, desenvolvimento, impactos ambientais, vulnerabilidade, economia, desigualdade
Geografia;Unidade 4 - Atividades interativas;/geo-atividade8-un4;O continente americano;Atividades interativas de fixação de conteúdos;América, vegetação, clima, relevo, população, desigualdade, economia
Geografia;Maias, astecas e incas;ARgeo8_un04an_maia_asteca_inca.mp4;Os povos pré-colombianos;Veja mapas e fotos com informações sobre essas civilizações e entenda algumas de suas principais características.;pré,colombianos, colonização, América, civilizações, astronomia, cultura
Geografia;América: aspectos físicos;/america-fisico;Aspectos naturais do continente americano;Explore o mapa interativo e reflita sobre a vegetação, clima, relevo e hidrografia da América.;América, clima, vegetação, relevo, hidrografia
Geografia;Unidade 5 - Atividades interativas;/geo-atividade8-un5;Estados Unidos e Canadá;Atividades interativas de fixação de conteúdos;América, economia, território, indústria, Canadá, Estados Unidos
Geografia;Estados Unidos: organização do espaço e população;/estados-unidos-organizacao;A população dos Estados Unidos e a organização do espaço;Explore o mapa interativo e veja dados referentes à organização do espaço estadunidense, como a localização das metrópoles, estrutura populacional e a questão das minorias étnicas e dos imigrantes. Navegue também pela galeria de imagens sobre o país.;Estados Unidos, organização do espaço, economia, população, América do Norte
Geografia;Unidade 6 - Atividades interativas;/geo-atividade8-un6;México e América Central;Atividades interativas de fixação de conteúdos;população, México, América Central, relevo, indústria
Geografia;Cuba;/cuba;América Central Insular;Saiba mais sobre a localização, história, economia e cultura cubanas. Assista também um trecho do filme Che e reflita sobre a revolução cubana.;América, socialismo, herança colonial,  União Soviética,
Geografia;Um dia sem mexicanos;ARgeo8_un06vt_mexicanos.mp4;A imigração mexicana  para os Estados Unidos;Assista ao trecho do filme que mostra um protesto feito por americanos contra a entrada de imigrantes nos Estados Unidos e reflita sobre o relacionamento entre norte-americanos e imigrantes mexicanos.;Estados Unidos, México, imigração, trabalho, fronteira
Geografia;Unidade 7 - Atividades interativas;/geo-atividade8-un7;América do Sul;Atividades interativas de fixação de conteúdos;população, economia, América do Sul, economia
Geografia;Os países da América;/paises-america;O continente americano;"Teste seus conhecimentos e localize os países do continente americano. No nível 1, encontre os países da América do Norte; no nível 2, da América do Sul; e no nível 3, da América Central. Veja sua pontuação no término do desafio.";América, continente, países, mapa
Geografia;Diários de motocicleta;ARgeo8_un07vt_diario.mp4;América do Sul;Assista ao trecho do filme em que os dois companheiros de viagem estão deixando o território Argentino e chegando ao Chile. Observe a mudança no clima e na paisagem.;América do Sul, Che Guevara, clima, paisagem, Argentina, Chile
Geografia;Unidade 8 - Atividades interativas;/geo-atividade8-un8;O continente africano;Atividades interativas de fixação de conteúdos;África, população, economia, política
Geografia;África: aspectos físicos;/africa-fisicos;O continente africano;Explore o mapa interativo e veja dados sobre o continente africano referentes à vegetação, clima, relevo e hidrografia.;África, clima, vegetação, relevo, continente
Geografia;África: diferentes culturas, diferentes paisagens;/africa-cultura;O continente africano e suas características físicas e culturais;Saiba mais sobre as características físicas, a variedade de paisagem e a organização da população do continente africano. Explore as telas interativas e veja algumas informações sobre Marrocos, Nigéria e Angola.;África, cultura, paisagem, população, diversidade
Geografia;Unidade 9 - Atividades interativas;/geo-atividade8-un9;África: desenvolvimento regional;Atividades interativas de fixação de conteúdos;regionalização, população, economia, clima, agricultura, indústria
Geografia;A partilha colonial na África;ARgeo8_un09an_partilha_africa.mp4;O processo de colonização da África;Navegue pelas fotos, ilustrações e obras de arte e reflita a respeito da expansão imperialista sobre o território africano e as partilhas entre os países;África, colonização, partilha, território, etnia, independência
Geografia;Mandela: luta pela liberdade;ARgeo8_un09vt_mandela.mp4;O apartheid na África do Sul;Assista a um trecho desse filme e reflita sobre o ponto de vista da África do Sul acerca do apartheid.;África do Sul, apartheid, Mandela, segregação racial
Geografia;Organização das Nações Unidas;ARgeo9_un01an_onu.mp4;Organizações multilaterais;Conheça mais sobre a Organização das Nações Unidas (ONU): seu surgimento, objetivos, membros, como é mantida e outros aspectos. O audiovisual mostra também, resumidamente, os principais programas, secretarias e fundos da ONU.;diplomacia, organizações, poder, segurança, geopolítica, conflitos
Geografia;Geopolítica;/geopolitica;Geopolítica;Teste seus conhecimentos sobre geopolítica no jogo de palavras cruzadas.;geopolítica, conflitos, tensões, tolerância, petróleo, economia, território, organizações multilaterais
Geografia;Unidade 1 - Atividades interativas;/geo-atividade9-un1;Geopolítica;Atividades interativas de fixação de conteúdos;conflitos, economia, potência, tensões, Estados Unidos, economia, geopolítica
Geografia;O desenvolvimento sustentável e a Agenda 21;ARgeo9_un02an_agenda_21.mp4;Os impactos ambientais  e as conferências sobre clima;Entenda o conceito de desenvolvimento sustentável e conheça as conferências que o consagraram, como a ECO-92. Veja também algumas propostas de preservação do meio ambiente e seus resultados.;meio ambiente, sustentabilidade, clima, conferências, aquecimento global
Geografia;Syriana;ARgeo9_un02vt_syriana.mp4;O mercado global: indústriais do petróleo;Veja no vídeo algumas consequências da fusão de empresas petrolíferas e reflita sobre a influência política e econômica das transnacionais em escala global.;indústria, economia, petróleo, mercado global, globalização
Geografia;Unidade 2 - Atividades interativas;/geo-atividade9-un2;Os efeitos da globalização;Atividades interativas de fixação de conteúdos;tecnologia, economia, globalização, produção, consumo, agricultura, indústria
Geografia;Europa: aspectos físicos;/europa-fisicos;Aspectos naturais do continente europeu;Relacione  no mapa os aspectos físicos da Europa: vegetação, clima, relevo e hidrografia.;Europa, clima, vegetação, relevo, continente
Geografia;Europa: organização do espaço e agropecuária;/europa-organizacao;O continente europeu: economia;Confira as áreas de maior e as de menor dinamismo econômico da Europa, os tipos de agricultura e  de pecuária  praticados e suas áreas de abrangência no continente.;Europa, economia, agropecuária, produção
Geografia;Unidade 3 - Atividades interativas;/geo-atividade9-un3;O continente europeu;Atividades interativas de fixação de conteúdos;vegetação, relevo, sustentabilidade, energia, meio ambiente, população, Europa
Geografia;União europeia;ARgeo9_un04an_uniao_europeia.mp4;O continente europeu;Conheça mais sobre a evolução da União Europeia e seu funcionamento. Um trecho da série Walls of shame (Muros da vergonha) aborda a polêmica construção de um muro entre Marrocos e Ceuta, para impedir a entrada de imigrantes ilegais no bloco.;Europa, União Europeia, imigrantes, bloco econômico, economia
Geografia;Rotas marítimas e redes de transporte;/rotas-maritimas;Transporte de mercadoria e pessoas;Explore o mapa interativo e compare as rotas mundiais de transporte marítimo e terrestre.;Transporte,,economia, globalização, fluxo, deslocamento
Geografia;Unidade 4 - Atividades interativas;/geo-atividade9-un4;União europeia e Rússia;Atividades interativas de fixação de conteúdos;bloco econômico, União europeia, crise, população, indústria, economia
Geografia;Ásia: aspectos físicos;/asia-fisicos;Aspectos naturais do continente asiático;Combine informações referentes àa vegetação, clima, relevo e hidrografia para conhecer mais sobre os aspectos físicos da Ásia.;Ásia, clima, vegetação, relevo
Geografia;Ásia: cidades populosas;/asia-cidades;O continente asiático;Navegue por fotos, vídeos e dados estatísticos sobre quatro das cidades mais populosas do mundo: Tóquio, Mumbai, Beijing e Karachi.;Ásia, população, aglomeração, urbano,
Geografia;Unidade 5 - Atividades interativas;/geo-atividade9-un5;O continente asiático;Atividades interativas de fixação de conteúdos;Ásia, relevo, clima, economia, agricultura, política
Geografia;Japão: indústria, tecnologia e o lixo eletrônico;/japao-industria;Japão: economia;Conheça aspectos da produção industrial de alta tecnologia no Japão e reflita sobre as consequências do descarte e acúmulo de lixo eletrônico para o ser humano e o meio ambiente.;Ásia, indústria, tecnologia, lixo eletrônico, meio ambiente
Geografia;A balada de Narayama;ARgeo9_un06vt_narayama.mp4;Japão do final do século XIX;Veja nesse filme como se desenvolvia o trabalho agrícola e o dos mercadores no interior do Japão do final do século XIX.;Japão, agricultura, economia, mercadores
Geografia;Unidade 6 - Atividades interativas;/geo-atividade9-un6;Japão e Tigres Asiáticos;Atividades interativas de fixação de conteúdos;Ásia, tecnologia, população, indústria, política, economia, Tigres Asiáticos
Geografia;China: população e dinamismo econômico;/china-populacao;Economia e população chinesa;Explore o mapa e relacione a distribuição da população chinesa com a localização de polos industriais, fluxos financeiros e outras informações econômicas da China.;China, economia, população, indústria, fluxos
Geografia;Deixando a terra: realocando a tradição;ARgeo9_un07vt_tradicao.mp4;Transformações modernas do território chinês;Entenda um pouco mais sobre o processo de transformação do território chinês. Diariamente um grande número de habitantes é realocado no país, trazendo profundas transformações sociais e culturais.;China, território, cultura, realocação, expansão, população, economia
Geografia;Unidade 7 - Atividades interativas;/geo-atividade9-un7;China;Atividades interativas de fixação de conteúdos;China, economia, agricultura, indústria, população
Geografia;A Questão Palestina;ARgeo9_un08ma_palestina.mp4;Conflitos no Oriente Médio;Assista à sequência de acontecimentos que marcam o processo histórico de disputa na região da Palestina.;Oriente Médio, conflitos, Palestina, Israel, árabes, judeus
Geografia;Unidade 8 - Atividades interativas;/geo-atividade9-un8;Índia e Oriente Médio;Atividades interativas de fixação de conteúdos;Índia, população, economia, política, Oriente  Médio, território, petróleo
Geografia;Oceania: aspectos físicos e geopolítica;/oceania-fisico;Oceania;Explore no mapa a distribuição dos tipos de clima e vegetação da Oceania e entenda algumas características geopolíticas do continente. Uma galeria de imagens mostra algumas regiões naturais.;Oceania, continente, aspectos físicos, geopolítica
Geografia;Oceania e regiões polares;ARgeo9_un09ve_oceania.mp4;Oceania e regiões polares;Nesta apresentação dinâmica, é possível retomar alguns conteúdos sobre a Oceania e conhecer características específicas das regiões polares do planeta.;Oceania, regiões polares, continente, clima
História;Unidade 1 - Teste seu conhecimento;/hist_conhecimento6_un1;O tempo e a história;Atividade interativa para fixação do conteúdo tratado na Unidade.;Tempo, história, séculos
História;Narradores de Javé;ARhis6_un01vt_jave.mp4;Memória e História, História Oral;Trecho do filmTrecho do filme Narradores de Javé (2003), de Eliane Caffé, que mostra a primeira entrevista feita pelo recém-nomeado historiador da comunidade e um dos protagonistas do filme, Antonio Biá.e Narradores de Javé (2003), de Eliane Caffé, que mostra a primeira entrevista feita pelo recém-nomeado historiador da comunidade e um dos protagonistas do filme, Antonio Biá.;História Oral, entrevista, memória, escrita, preservação
História;O início da aventura humana;/inicio-aventura;Pré-história, surgimento da agricultura, do comércio e das cidades;Atividade interativa para fixação do conteúdo tratado na Unidade.;Pré,história, Paleolítico, Neolítico, cidades, comércio, metalurgia
História;A guerra do fogo;ARhis6_un02vt_fogo.mp4;Período Paleolítico;Trecho do filme A guerra do fogo (1981), de Jean-Jaques Annaud, que conta a história do encontro entre um grupo de hominídeos primitivos e Ika, uma mulher que já conhece a técnica de produção do fogo e se comunica de maneira mais complexa.;Paleotítico, Neandertal, homo sapiens, fogo, Pré,História, Idade da Pedra, linguagem, comunicação
História;Romeu e Julieta no Neolítico;ARhis6_un02va_romeu.mp4;Período Neolítico;O vídeo mostra a descoberta, feita pela arqueóloga italiana Elena Menotti em 2007, das ossadas de um casal que viveu entre 5 e 6 mil anos atrás.;Neolítico, arqueologia, esqueletos, casal, Elena Menotti, eterno abraço, práticas funerárias
História;Unidade 3 - Teste seu conhecimento;/hist-conhecimento6-un3;A chegada do homem à América;Atividade interativa para fixação do conteúdo tratado na Unidade.;Estreito de Bering, Clóvis, Lagoa Santa, Luzia, arqueologia, povoamento, América
História;Serra da Capivara;ARhis6_un03vt_capivara.mp4;A chegada do homem à América;Trecho do documentário dirigido por Edson Fogaça e produzido pela UNESCO sobre o Parque Nacional Serra da Capivara, em 2013.;Piauí, Serra da Capivara, arqueologia, Niède Guidon, São Raimundo Nonato, Unesco, pinturas rupestres, sítio arqueológico
História;Pedro Leopoldo: o berço de Luzia;ARhis6_un03vt_luzia.mp4;A chegada do homem à América;Trecho do documentário que mostra o modelo dos dois componentes biológicos, elaborado por Walter Neves e Joseph Powell após as  descobertas feitas na região de Pedro Leopoldo (MG).;Luzia, Pedro Leopoldo, Walter Neves, arqueologia, povoamento, América
História;Unidade 4 - Teste seu conhecimento;/hist-conhecimento6-un4;Mesopotâmia, China e Índia;Atividade interativa para fixação do conteúdo tratado na Unidade.;Mesopotâmia, China, Índia
História;Povos da Mesopotâmia;ARhis6_un04ma_mesopotamia.mp4;Mesopotâmia;Há cerca de 7 mil anos, grupos humanos começaram a se fixar na região entre os rios Tigre e Eufrates, no atual Iraque. Ao longo de milhares de anos, a região foi palco do surgimento das primeiras cidades-Estado, da escrita e do desenvolvimento de grandes impérios.;Rio Tigre, Rio Eufrates, Mesopotâmia, Sumérios, escrita cuneiforme, cidades,Estado, Babilônia, Gilgamesh
História;China Antiga;ARhis6_un04ma_china.mp4;China antiga;O mapa animado mostra como a civilização chinesa se desenvolveu ao longo do tempo, desde os primeiros assentamentos humanos próximos do Rio Amarelo, em cerca de 7.000 a.C., até se tornar um país de dimensões continentais.;China, Rio Amarelo, dinastias, Han, escrita ideográfica
História;Egito: dádiva do Nilo;ARhis6_un05an_egito.mp4;Egito antigo;"No século V a.C. o historiador grego Heródoto  observou que o Egito era uma ""dádiva do Nilo"". Este objeto digital mostra o papel fundamental do rio para o desenvolvimento da antiga civilização egípcia.";Egito, Rio Nilo, agricultura, faraó, civiilização egípcia, obras hidráulicas, irrigação, navegação, templos, pirâmides
História;Egito Antigo;/egito-antigo;Egito antigo;Atividade interativa para fixação do conteúdo tratado na Unidade.;Egito antigo
História;A história da Núbia;ARhis6_un05vt_nubia.mp4;Núbia antiga e a civilização cuxita de Méroe;O documentário produzido pelo Museu Real de Ontário, do Canadá, conta a história da civilização núbia, que floresceu no Vale do Nilo ao sul do Egito entre os séculos X a.C e IV d.C.;Núbia, Reino de Cuxe, Méroe, pirâmides, Rio Nilo, Sudão, Royal Ontario Museum, Napata, arqueologia, meroítas
História;Unidade 6 - Teste seu conhecimento;/hist-conhecimento6-un6;Os hebreus;Atividade interativa para fixação do conteúdo tratado na Unidade.;Hebreus
História;Rotas comerciais fenícias;ARhis6_un06ma_rotas_fenicias.mp4;Fenícios;O mapa animado mostra como os fenícios se tornaram uma potência comercial durante a Antiguidade. Depois que suas principais cidades conquistaram  autonomia, criaram rotas comerciais, ampliando os contatos mercantis e culturais entre os povos da época.;Fenícios, Mar Mediterrâneo, comércio, navegação, alfabeto, Líbano
História;Construindo um Império: os Persas;ARhis6_un06vt_persas.mp4;Império Persa;Sob o reinado de Dario I, o Império Persa atingiu sua maior extensão, e tornou-se necessário providenciar meios para que as diversas partes do império se comunicassem. Para isso foi construída a Estrada Real, mostrada neste vídeo.;Persas, Dario I, Império Persa, Estrada Real
História;Unidade 7 - Teste seu conhecimento;/hist-conhecimento6-un7;Grécia antiga, Atenas e Esparta;Atividade interativa para fixação do conteúdo tratado na Unidade.;Grécia antiga, democracia, Atenas, Esparta, cidades,Estado, cidadania
História;O teatro grego;ARhis6_un07pc_teatro_grego.mp4;Arte na Grécia antiga;O protagonista deste objeto digital é o teatro grego, cujas origens remontam ao século VI a.C. São apresentadas suas estruturas, as apresentações que ocorriam nos teatros da Grécia antiga e alguns dos principais autores de peças teatrais da época.;Teatro, Grécia antiga, arte, tragédia, comédia, Eurípedes, Ésquilo, Sófocles, Aristófanes
História;Alexandre, o Grande;ARhis6_un07va_alexandre.mp4;Alexandre, O Grande e o Período Helenístico;Alexandre, rei da Macedônia entre 336 a.C. e 323 a.C., é visto por alguns historiadores como um gênio militar, dotado de uma habilidade política única. O vídeo mostra um pouco da história desse importante personagem da História antiga, bem como o vasto legado cultural que deixou.;Alexandre, Império Macedônico, helenismo
História;As moradias na Roma antiga;ARhis6_un09an_roma.mp4;Sociedade na Roma antiga;"O objeto digital mostra as condições de moradia na Roma antiga e o modo como as diferenças sociais entre patrícios e plebeus se refletiam nas habitações: aos plebeus mais pobres, as ínsulas; aos patrícios, as domus.";Roma, república romana, ínsulas, domus, moradias, patrícios, plebeus. habitação
História;Unidade 8 - Teste seu conhecimento;/hist-conhecimento6-un8;A república romana;Atividade interativa para fixação do conteúdo tratado na Unidade.;Roma, república
História;O banquete romano;/banquete-romano;Alimentação na Roma antiga;O assunto desta multimídia interativa são os banquetes romanos: como eram organizados? O que era servido? Quem participava deles? Estas são algumas das questões a que o objeto digital procura responder.;Roma, banquetes, alimentação, cultura material, patrícios, poder, espetáculo
História;Pompeia e o Vesúvio;ARhis6_un09an_pompeia.mp4;Império Romano;O objeto digital conta a história da erupção do vulcão Vesúvio, em 79 d.C., na Itália. As cinzas lançadas pelo vulcão foram responsáveis pela morte dos habitantes da cidade romana de Pompeia. Porém, graças a esse episódio, a cidade ficou completamente preservada, permitindo que arqueólogos e historiadores estudassem a sociedade que se desenvolveu ali.;Pompeia, Vesúvio, ruínas, Império Romano, erupção, arqueologia,
História;O Império Romano e o Mundo Bizantino;/romano;Império Romano e o mundo bizantino;Atividade interativa para fixação do conteúdo tratado na Unidade.;Império Romano, Império Bizantino, Bizâncio, Constantinopla, cristianismo, ruralização
História;Carlos Magno e o Renascimento Carolíngio;ARhis7_un01an_carlos_magno.mp4;O Reino Franco, Alta Idade Média;O objeto digital acompanha o desenvolvimento cultural, intelectual e artístico que ocorreu no reinado de Carlos Magno e questiona a ideia de que a Idade Média teria sido a “idade das trevas”.;Carlos Magno, Renascimento Carolíngio, literatura, arte, clero, educação, cultura Alta Idade Media
História;A organização do senhorio medieval;/senhorio;Feudalismo;Objeto digital interativo que mostra, por meio de vídeos, textos, imagens e outros recursos, como se organizavam os senhorios medievais.;Idade Média, feudalismo, feudo, senhorio, castelo, Igreja Católica, manso senhorial, manso servil, terras comunais, moinho, camponeses
História;Unidade 1 - Teste seu conhecimento;/hist-conhecimento7-un1;Feudalismo;Atividade interativa para fixação do conteúdo tratado na Unidade.;Idade Média, feudalismo, servidão, vassalagem, suserania
História;O islã na África;ARhis7_un02an_isla_africa.mp4;Expansão islâmica;Audiovisual que narra a história da expansão do islã pelo continente africano, desde o século VII até os dias de hoje.;Islã, islamismo, Maomé, África, Sahel, comércio transaariano, religião, muçulmanos, Abu Bakr
História;O Destino;ARhis7_un02vt_destino.mp4;Religião, cultura e ciências no mundo muçulmano;Trecho do filme O Destino (1997), de Youssef Chahine, sobre o filósofo islâmico Averróis (Ibn Rushd, 1126-1198), defensor da livre interpretação do Alcorão.;Averróis, filosofia, islã, islamismo, muçulmanos, Alcorão,  religião, ciência
História;Unidade 2 - Teste seu conhecimento;/hist-conhecimento7-un2;Mundo muçulmano;Atividade interativa para fixação do conteúdo tratado na Unidade.;Islã, islamismo, árabes, muçulmanos
História;O comércio caravaneiro;ARhis7_un03an_comercio.mp4;O comércio caravaneiro;O objeto digital apresenta o comércio feito em caravanas que viajavam entre o norte da África e as regiões subsaarianas. Além das mercadorias, os camelos ganham destaque, em razão de sua importância para a travessia do deserto em viagens que chegavam a durar mais de 30 dias.;África, Saara, deserto, comércio transaariano, caravanas, camelos, Sahel, Reinos islamizados
História;Timbuctu;ARhis7_un03vt_timbuctu.mp4;Reinos islamizados do Sahel;O documentário, uma produção conjunta da UNESCO e do canal de televisão japonês NHK, conta a história de Timbuctu, cidade que foi um importante centro de desenvolvimento comercial e intelectual da África subsaariana entre os séculos XI e XVI.;Timbuctu, Império do Mali, cultura, Universidade de Sankore, Império Songhai, comércio transaariano, Saara, deserto, Sahel, ouro
História;Unidade 3 - Teste seu conhecimento;/hist-conhecimento7-un3;Reinos islamizados do Sahel;Atividade interativa para fixação do conteúdo tratado na Unidade.;Sahel, reinos, África, Reino de Gana, comércio transaariano, Saara, deserto
História;Peste negra;ARhis7_un04an_peste_negra.mp4;Baixa Idade Média;Objeto digital que mostra como a peste negra impactou a história do continente europeu. A doença, transmitida por pulgas de ratos contaminadas, chegou à Europa no século XIV, espalhou medo, terror e vitimou mais de um terço da população;Peste negra, Baixa Idade Média, epidemia, doença
História;O caminho das Cruzadas;ARhis7_un04an_cruzadas.mp4;As Cruzadas;O mapa animado mostra a história das Cruzadas, série de expedições à Terra Santa organizadas entre 1096 e 1271, que opuseram cristãos e muçulmanos e contribuíram para o enfraquecimento do feudalismo na Europa.;Cruzadas, cristianismo,  muçulmanos, Jerusalém, Terra Santa, conflitos, guerra santa
História;Unidade 4 - Teste seu conhecimento;/hist-conhecimento7-un4;As Cruzadas;Atividade interativa para fixação do conteúdo tratado na Unidade.;Cruzadas, cristianismo,  muçulmanos, Jerusalém, Terra Santa, conflitos, guerra santa
História;Giordano Bruno;ARhis7_un05vt_giordano.mp4;Renascimento;Trecho do filme Giordano Bruno (1971), de Giuliano Montaldo, que apresenta as ideias de Giordano Bruno (1548-1600). Suas concepções foram consideradas heréticas pela Igreja Católica e lhe renderam a condenação à morte pelo Tribunal do Santo Ofício.;Giordano Bruno, filosofia, ciência, humanismo, Renascimento, Inquisição, Igreja Católica
História;Lutero;ARhis7_un05vt_lutero.mp4;Reforma Protestante;Trecho do filme Lutero (2003), de Eric Till, que apresenta a atuação do monge Martinho Lutero (1483-1546) contra as vendas de indulgências pela Igreja Católica. A atuação contestatória de Lutero foi o ponto de partida da Reforma Protestante.;Martinho Lutero, Reforma Protestante, indulgências, 95 teses, Igreja Católica, cristianismo
História;Unidade 5 - Teste seu conhecimento;/hist-conhecimento7-un5;Protestantismo;Atividade interativa para fixação do conteúdo tratado na Unidade.;Reforma Protestante, anglicanismo, calvinismo, luteranismo
História;As pirâmides perdidas de Caral;ARhis7_un06vt_caral.mp4;América pré-colombiana;Trecho do documentário As pirâmides perdidas de Caral (2002), produzido pela BBC Londres. O documentário apresenta o sítio arqueológico de Caral, no atual Peru, e as principais hipóteses sobre a sociedade que se desenvolveu ali há aproximadamente 5 mil anos.;Caral, Peru, arqueologia, comércio, algodão, pesca
História;Unidade 6 - Teste seu conhecimento;/hist-conhecimento7-un6;América pré-colombiana;Atividade interativa para fixação do conteúdo tratado na Unidade.;América, Incas, Astecas, Maias
História;Expansão marítima luso-espanhola;ARhis7_un07an_expansao_maritima.mp4;As grandes navegações;O mapa animado apresenta os fatores sociais, econômicos e políticos que contribuíram para que as nações ibéricas fossem pioneiras nas chamadas grandes navegações. Como resultado de suas expedições marítimas, novas terras foram descobertas e exploradas pelos europeus.;Grandes navegações, Império marítimo  luso,espanhol, Portugal, Espanha, viagens ultramarinas
História;1492: A Conquista do Paraíso;ARhis7_un07vt_conquista.mp4;Conquista da América;Trecho do filme 1492: A conquista do Paraíso (1992), de Ridley Scott, que apresenta o momento da chegada dos espanhóis, liderados por Cristóvão Colombo, à América e os primeiros contatos com a natureza e com os habitantes nativos.;Grandes navegações, Cristóvão Colombo, América, Caribe, indígenas, viagens ultramarinas, conquista
História;Unidade 7 - Teste seu conhecimento;/hist-conhecimento7-un7;Absolutismo;Atividade interativa para fixação do conteúdo tratado na Unidade.;Absolutismo, monarquias absolutas,
